











"ID","Unit Title","Unit Date","Start Year","End Year","Unit ID","Level","Originator","Container 1","Container 2","Container 3","Phys. Desc. 1","Phys. Desc. 2","Phys. Desc. 3","Phys. Loc","Access Restrict.","URN","Collection Title","Originator","Collection Date","Collection ID","Parent 1","Parent 2","Parent 3","Parent 4","Parent 5","Parent 6"
"hua04010c00016","Vote of the Commission for Indian Affairs, October 5, 1753","October 5, 175","","","UAI 20.720 Box 1, Folder 16","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513774","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00017","Letter from Timothy Woodbridge to Andrew Oliver, July 10, 1761","July 10, 1761","1761","1761","UAI 20.720 Box 1, Folder 17","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513775","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00018","Vote of the Commission for Indian Affairs, July 18, 1764","July 18, 1764","1764","1764","UAI 20.720 Box 1, Folder 18","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513776","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00019","Extract of letter from Jasper Mauduit to Andrew Oliver, March 10, 1768","March 10, 1768","1768","1768","UAI 20.720 Box 1, Folder 19","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513777","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00020","Votes of the Commission for Indian Affairs, October 1770-November 1770","","","","UAI 20.720 Box 1, Folder 20","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513779","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00021","Vote of the Harvard Corporation, April 5, 1773","April 5, 1773","1773","1773","UAI 20.720 Box 1, Folder 21","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513780","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00022","Letter from Stephen West to Reverend Andrew Eliot, October 29, 1773","October 29, 1773","1773","1773","UAI 20.720 Box 1, Folder 22","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513781","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00023","Letter from Stephen Badger to Samuel Langdon, March 3, 1778","March 3, 1778","1778","1778","UAI 20.720 Box 1, Folder 23","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513782","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00024","Petition to the Harvard Corporation from the Selectmen of Natick, June 9, 1778","June 9, 1778","1778","1778","UAI 20.720 Box 1, Folder 24","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513783","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00025","Letters from Gideon Hawley to Samuel Langdon, 1778","1778","1778","1778","UAI 20.720 Box 1, Folder 25","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513784","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00026","Letter from Samuel Kirkland to Joseph Willard, June 24, 1791","June 24, 1791","1791","1791","UAI 20.720 Box 1, Folder 26","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513785","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00027","Letters from John Sergeant to Joseph Willard, 1792-1794","1792-1794","1792","1794","UAI 20.720 Box 1, Folder 27","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513786","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00028","Letters from John Sergeant to Samuel Willard, February-April 1795","February-April 1795","1795","1795","UAI 20.720 Box 1, Folder 28","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513787","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00029","Petition to the Harvard Corporation from John Sergeant, February 1795","February 1795","1795","1795","UAI 20.720 Box 1, Folder 29","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513788","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00030","Petition to the Harvard Corporation from John Sergeant, April 6, 1795","April 6, 1795","1795","1795","UAI 20.720 Box 1, Folder 30","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513790","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00031","Petition to the Harvard Corporation from John Sergeant, August 1797","August 1797","1797","1797","UAI 20.720 Box 1, Folder 31","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513791","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00032","Letters from John Sergeant to Joseph Willard, 1797-1798","1797-1798","1797","1798","UAI 20.720 Box 1, Folder 32","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513792","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00033","Letter from Samuel Kirkland to the Harvard Corporation, May 1, 1799","May 1, 1799","1799","1799","UAI 20.720 Box 1, Folder 33","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513793","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00034","Letter from Samuel Kirkland to Reverend Alexander Miller, May 24, 1800","May 24, 1800","1800","1800","UAI 20.720 Box 1, Folder 34","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513794","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00035","Letter from Samuel Kirkland to Reverend Alexander Miller, June 7, 1800","June 7, 1800","1800","1800","UAI 20.720 Box 1, Folder 35","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513795","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00036","Statement of the Trustees of Hamilton Oneida Academy, May 18, 1801","May 18, 1801","1801","1801","UAI 20.720 Box 1, Folder 36","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513796","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00037","Petition to the Harvard Corporation from John Sergeant, June 6, 1801","June 6, 1801","1801","1801","UAI 20.720 Box 1, Folder 37","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513797","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00038","Endorsement of Samuel Kirkland, October 13, 1802 (2 copies)","October 13, 1802","1802","1802","UAI 20.720 Box 1, Folder 38","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513798","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00039","Letter from Samuel Kirkland to Joseph Willard, October 1802","October 1802","1802","1802","UAI 20.720 Box 1, Folder 39","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513799","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00040","Endorsement of Samuel Kirkland by James Dean, February 21, 1803","February 21, 1803","1803","1803","UAI 20.720 Box 1, Folder 40","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513801","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00041","Petition to James Sullivan from Samuel Kirkland, September 14, 1803","September 14, 1803","1803","1803","UAI 20.720 Box 1, Folder 41","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513802","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00042","Petition to the Harvard Corporation from Samuel Kirkland, September 24, 1803","September 24, 1803","1803","1803","UAI 20.720 Box 1, Folder 42","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513803","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00043","Letter from John Thornton Kirkland to Eliphalet Pearson, February 15, 1805","February 15, 1805","1805","1805","UAI 20.720 Box 1, Folder 43","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513804","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00044","Letter from Samuel Kirkland to Eliphalet Pearson, September 28, 1805","September 28, 1805","1805","1805","UAI 20.720 Box 1, Folder 44","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513805","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00045","Letter from Robert Porter to Eliphalet Pearson, October 13, 1805","October 13, 1805","1805","1805","UAI 20.720 Box 1, Folder 45","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513806","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00046","Letter from Samuel Kirkland to Eliphalet Pearson, December 1, 1805","December 1, 1805","1805","1805","UAI 20.720 Box 1, Folder 46","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513807","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00047","Subscription for Samuel Kirkland, [1805]","[1805]","1805","1805","UAI 20.720 Box 1, Folder 47","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513808","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00048","Letter from John Sergeant to John Lathrop, April 18, 1806","April 18, 1806","1806","1806","UAI 20.720 Box 1, Folder 48","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513809","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00049","Letter from Gideon Hawley to Deacon Storer, May 20, 1806","May 20, 1806","1806","1806","UAI 20.720 Box 1, Folder 49","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513810","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00050","Letter from Samuel Kirkland to Samuel Webber, August 14, 1806","August 14, 1806","1806","1806","UAI 20.720 Box 1, Folder 50","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513812","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00051","Letter from Samuel Webber to John Sergeant, September 3, 1806","September 3, 1806","1806","1806","UAI 20.720 Box 1, Folder 51","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513813","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00052","Letter from John Sergeant to Samuel Webber, November 12, 1806","November 12, 1806","1806","1806","UAI 20.720 Box 1, Folder 52","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513814","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00053","Letter from Gideon Hawley to Samuel Webber, February 10, 1807","February 10, 1807","1807","1807","UAI 20.720 Box 1, Folder 53","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513815","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00054","Letter from Samuel Webber to Samuel Kirkland, March 14, 1807","March 14, 1807","1807","1807","UAI 20.720 Box 1, Folder 54","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513816","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00055","Letter from John Sergeant to Samuel Webber, March 24, 1807","March 24, 1807","1807","1807","UAI 20.720 Box 1, Folder 55","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513817","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00056","Letter from John Sergeant to Jonathan Jackson, June 25, 1808","June 25, 1808","1808","1808","UAI 20.720 Box 1, Folder 56","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513818","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00057","Report to the Harvard Corporation on the missionary work of Joseph Badger, written by Abiel Holmes, February 17, 1809","February 17, 1809","1809","1809","UAI 20.720 Box 1, Folder 57","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513819","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00058","Letter from Elisha Clap to Samuel Webber, April 20, 1809","April 20, 1809","1809","1809","UAI 20.720 Box 1, Folder 58","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513820","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00059","Petition to the Society for Propagating the Gospel among the Indians from the Chappaquiddick Indians, May 6, 1809","May 6, 1809","1809","1809","UAI 20.720 Box 1, Folder 59","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513821","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00060","Letter from Joseph Thaxter to John Thornton Kirkland, November 29, 1809","November 29, 1809","1809","1809","UAI 20.720 Box 1, Folder 60","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513823","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00061","Letter from Joseph Thaxter to John Thornton Kirkland, January 15, 1810","January 15, 1810","1810","1810","UAI 20.720 Box 1, Folder 61","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513824","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00062","Petition to the Harvard Corporation from the Chappaquiddick Indians, February 12, 1810","February 12, 1810","1810","1810","UAI 20.720 Box 1, Folder 62","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513825","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00063","Letter from Joseph Badger to Samuel Webber, April 4, 1810","April 4, 1810","1810","1810","UAI 20.720 Box 1, Folder 63","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513826","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00064","Letter from John Pierce to Joseph Thaxter, June 5, 1810","June 5, 1810","1810","1810","UAI 20.720 Box 1, Folder 64","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513827","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00065","Letters from Frederick Baylies to John Thornton Kirkland, June 11, 1810 and July 9, 1810","June 11, 1810July 9, 1810","18101810","18101810","UAI 20.720 Box 1, Folder 65","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513828","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00066","Letter from Joseph Thaxter to John Thornton Kirkland, June 13, 1810","June 13, 1810","1810","1810","UAI 20.720 Box 1, Folder 66","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513829","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00067","Harvard Corporation memo regarding “Indian money,” July 6, 1812","July 6, 1812","1812","1812","UAI 20.720 Box 1, Folder 67","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513830","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Harvard Corporation records regarding work among the Indians, 1720-1812","","","","","",
"hua04010c00133","Missionary Journals of Samuel Kirkland, 1789-1807","1789-1807","1789","1807","II.","series","","","","",".23 cubic feet (17 folders and 2 reels of microfilm).","","","","","","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","","","","","","",
"hua04010c00068","Journal of Samuel Kirkland, March 6, 1789-March 16, 1790","March 6, 1789-March 16, 1790","1789","1790","","","","","","","(6 folders)","","","","","","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Missionary Journals of Samuel Kirkland, 1789-1807","","","","","",
"hua04010c00069","Folder 1 of 6","","","","UAI 20.720 Box 1, Folder 68","item","","","","","","","","","","http://nrs.harvard.edu/urn-3:HUL.ARCH:10513831","Records of Grants for Work among the Indians, 1720-1812","Harvard University. Corporation.","1720-1812","UAI 20.720","Journal of Samuel Kirkland, March 6, 1789-March 16, 1790","Missionary Journals of Samuel Kirkland, 1789-1807","","","","",
