Name,Description,Source,Interview
Collaborative collections and collections development,"As funding pressure has increased, collections development professionals have increasingly turned to collaborations to increase the scope of materials for their patrons and reduce direct costs",Brainstorming 09-12-2012; Interview,"Anonymous-2; Anonymous-3; Bidlack, Beth; Byrd, Bob; Hafner, Joseph; Harvey, Aisha; Hibay, Denise; Jakubs, Deborah; Levenson, David; Malpus, Constance; Marx, Maura; Pollard, Russell; Ratkinskaya, Anna; Rudenstine, Neil; Sheehy, matthew; Shirey, Lynn; Stoller, Michael; Warnement, Judy; Wicks, Scott; Wurl, Joel"
"Collaborative collections development, difficulty of maintaining","Although collaborative collecting agreements can be attractive, they can also be very difficult to maintain.",Interview,"Shenton, Helen"
"Collecting practices, changes in","Increasingly, libraries can no longer 'collect for the ages', and instead must focus on meeting immediate patron needs  or collecting distinctive materials",Interview,"Eggleston, Betsey"
"Collecting practices, impact of modes of discovery upon",The relationship between modes of discovery and collecting practices,Interview,"Brooks, Sam; Hirtle, Peter"
"Collections in the Cloud, increased interest in",Describes the services involved in providing access to data stored remotely via a network (Source: Wikipedia); assumption is that some digital collections will be hosted in this manner,Interview; Notes 09-14-2012,"Blouin Jr., Francis X.; Deschner, Paul; Dulin, Kim; Weinberger, David; Schulman, Andrea"
"Cooperative digital preservation infrastructure, creation of",Infrastructure that is developed in partnership with other organizations for the purposes of long term digital preservation,Interview,"Malpus, Constance"
"Computational scholarship, rise of","The rise of more disciplines using computational strategies to analyze datasets or create scholarship (e.g. computational journalism, the digital humanities)",Notes 09-14-2012,"Danielson, Virginia"
"Content aggregators, proliferation of","Given the increased number of digital resources being created and that are now publicly available, there has been a proliferation of agents engaged in repackaging and aggregating these sources into consolidated data streams",Notes 09-14-2012,Anonymous-1
"Content remixing, practice of","Given the increase availability of freely available digital resources, more individuals are remixing content they find online for use in other applications such as course work, new modes of communication, and new digital works",Notes 09-14-2012,None
Continued relevance of print in certain subject areas,"Despite the increased number of electronic resources, scholarly resources in some academic disciplines are still only available in print and will continue to be for the foreseeable future",Interview,"Engell, James; Warnement, Judy"
"Cross- and inter-disciplinary scholarship and research activities, increased frequency of",An increasing number of researchers and faculty are engaging in research and collaborations that span disciplines giving rise to more cross- (and inter-) disciplinary research activities,Brainstorming 09-12-2012,None
"Cross-repository information, increased production of",Collections that span multiple repositories (e.g. digital collections) are becoming more common,Notes 09-14-2012,None
"Crowd-sourced curation, rise of","Increasingly, the curation of digital content (e.g. images) is being crowd-sourced",Interview,"Anonymous-1; Kohane, Zak"
"Data provenance, increased importance of","As more scholars make use of datasets, it has become increasingly important to them that the provenance of the data be explicated and well-understood",Interview,"Hickerson, Thomas"
"Data-driven collecting decisions, increased practice of (e.g. bibliometrics)","Increasingly, libraries are requiring that collections (and other budget items) justify their purchasing decisions using quantitative means",Interview,"Dulin, Kim; Eggleston, Betsey; Neal, James"
"Datamining, increased practice of","As big datasets have become more available, researchers and commercial organizations have begun to mine these datasets for interesting relationships and insights",Brainstorming 09-12-2012,None
"Datasets, increased need to collect and curate","As more scholars become involved in research that draws upon data (e.g. computational scholarship), it has become more pressing that libraries create ways to manage the datasets that researchers generate as a side effect of their scholarship as well as the primary data that they need to perform their research",Interview,"Anonymous-1; Deschner, Paul; Dulin, Kim; Kriegsman, Sue; Lynch, Clifford; Schwarzwalder, Bob"
"Digital collections, increased importance of","Patron access expectations, as well as a desire to make 'hidden' collections more accessible to others, and an increase in funding for digitization projects is driving the increased importance of library digital collections",Interview,"Der Manuelian, Peter; Engell, James; Hafner, Joseph; Wurl, Joel"
"Digital content and digital formats, proliferation and wide availability of",Digital content (free and that which is behind pay walls) is now widely available. Content aggregators have helped to fuel this availability,Brainstorming 09-12-2012; Interview; Notes 09-14-2012,"Eggleston, Betsey; Hafner, Joseph; Levenson, David; Name Suppressed; Rudenstine, Neil"
"Digital content and networks, increased use of to perform research activities","Increasingly, digital content and networks are being employed to perform research activities such as gathering and analyzing data and sharing results",Notes 09-14-2012,None
"Digital curation and management, increased interest in and need for","As a result of increase demand that libraries collect digital materials, libraries have begun to investigate how to manage the maintenance and preservation aspects of the information lifecycle",Brainstorming 09-12-2012; Interview,"Deschner, Paul; Dulin, Kim; Engell, James; Schwarzwalder, Bob"
"Digital formats, increased awareness of complexity of for storage and preservation","Digital formats require special treatment for preservation that is different from treatments required by print materials. Increasingly, institutions are becoming aware of and attempting to systematically address this complexity.",Notes 09-14-2012; Interview,"Schulman, Andrea"
"Digital humanities, rise of","Digital humanities is an area of research, teaching, and creation concerned with the intersection of computing and the disciplines of the humanities. It is linked to Computational scholarship",Interview,"Danielson, Virginia; Hibay, Denise"
"Digital learning objects, increase in number of","With the rise of online courses, there has been an increase in the number of digital learning objects available",Brainstorming 09-12-2012,None
"Digital objects that are entangled with hardware, proliferation of","Increasingly, digital objects are entangled with hardware platforms. E-books are an example of this, where some formats (e.g. EPUB) only work on certain e-readers",Interview,"Lynch, Clifford"
"Digital objects that are entangled with services, proliferation of","Increasingly, digital objects are entangled with services and/or software (e.g. GIS datasets and architectural data). For instance, some data formats can only be used with certain software that must be licensed",Interview,"Lynch, Clifford"
"Digital projects, increased number of non-profit",There are an increasing number of digital projects that are funded by non-profit organizations,Interview,"Pollard, Russell"
"Digital storage and long-term preservation, increased importance of","The tail end of the information lifecycle has become increasingly important, especially in light of the transience of some digital material (e.g. websites)",Notes 09-14-2012,"Dulin, Kim; Malpus, Constance"
"Digital student portfolios, proliferation of","Changes in teaching and learning have also altered student output. Many courses now require students to create electronic portfolios of work. Researchers also may have digital work portfolios including images, video, and electronic documents.",Brainstorming 09-12-2012,None
"Digitization of rare or 'hidden' materials, increased frequency of","Increasingly, institutions are focusing their efforts on making special collections or hidden materials in their collections more accessible by digitizing them",Interview,"Hafner, Joseph; Hamburger, Jeffrey; Levenson, David; Schwarzwalder, Bob"
"E-resources, changing models of ownership",There is a shift from ownership of content to purchasing access to content,Interview,"Brooks, Sam"
"E-resources, cost of",The price of licensing e-resources is rising,Brainstorming 09-12-2012,None
"E-resources, proliferation of",The publishing industry has responded to the demand for e-resources by making more of them more widely available (for a fee). The digital revolution has also made it easier to self-publish digital resources,Notes 09-14-2012,"Name Suppressed; Rudenstine, Neil; Thomas, Richard; Shelton, Mark"
Evidence-based decision making,"Increasingly, libraries are requiring that collections (and other budget items) justify their purchasing decisions using metric-based means",Interview,"Bidlack, Beth; Eggleston, Bestey; Marcum, Deanna"
Embedded digital objects,"Given the proliferation of digital content, users are now embedding these digital objects into other objects to create new works. See content remixing and the Open Education Movement as an example.",Notes 09-14-2012,None
"Faculty use of new technologies for research, increase of","Increasingly, faculty are making use of new technologies to conduct their research and to use as primary research materials",Interview,"Cheng, James"
Floundering of national partnerships,"Various national collecting partnerships, which are difficult to maintain, are having difficulty staying cohesive and effective",Interview,"Shenton, Helen"
"Faculty-driven collecting, resurgence of",Collections development that is guided by immediate faculty needs has become more common once again,Interview,Anonymous-2
"Full text access, increased desire for and availability of",Database vendors are making full text access to articles more common,Interview,"Der Manuelian, Peter"
Funding constraints and competition,"There is funding competition within libraries, institutions, and other organizations",Interview,"Neal, James"
"Gaps in born-digital collecting, increased awareness of",There has been increased awareness that there has been an asymmetric impact of the digital revolution on different academic disciplines,Brainstorming 09-12-2012,None
"Gaps in interdisciplinary collecting, increase awareness of","As interdisciplinary research has increased, there is likewise an increasing awareness that there are gaps in collecting practices for interdisciplinary subject areas",Brainstorming 09-12-2012,None
"Global political unrest, affect upon collecting practices",Collecting practices may be affected by political or social unrest. This is important now that scholarship has become more global and it has become more important to collect global materials,Interview,"Hopper, Michael; Reischer, Bridget"
"Grant-funded projects to address shared collections, increased use of",More libraries will collaborate and use grant funds to build shared collections,Interview,"Hibay, Denise"
Growth of co-authorship across institutions and schools,"Increasingly, scholars are partnering across schools and institutions to create scholarship together, some of which may be interdisciplinary in nature",Interview,"Stergios, Gosia"
"Growth of knowledge, increased pace of",Knowledge of all sorts has been growing at an increased rate,Brainstorming 09-12-2012; Interview,"Dulin, Kim"
Homogenization of library collections,"Due to certain types of collecting practices, library collections are at risk of becoming homogenized",Interview,Anonymous-1
Impact of discovery on choice of database purchases,Mechanisms for discovery may have significant impact upon which databases a library chooses to purchase,Interview,"Brooks, Sam"
"Item-level finding aids, availability of",There will be an increase in the availability of item-level finding aids.,Interview,"Der Manuelian, Peter"
"Justification of information resource purchases, increased pressure for",There is increased pressure upon libraries to justify their collections decisions,Interview,"Marcum, Deanna"
"Knowledge, increased proliferation and wide availability of","Information of all types, print and digital, is available in massive quantities and increasing amounts",Interview,"Hafner, Joseph"
"Knowledge embedded in networks and relationships, increase in amount of",Increase in the amount of knowledge embedded in networks,Notes 09-14-2012,None
"Library publishing initiatives, increase in",Increase in library publishing initiatives,Notes 09-14-2012,None
"Library-as-publisher, rise of role of",Role of library-as-publisher,Interview,"Neal, James; Schwarzwalder, Bob; Wicks, Scott"
"Library-as-research-partner, increased role of",Role of library-as-research-partner,Interview,"Smith, Mackenzie"
Loss of private and institutional archival material,Loss of private and institution archival materials,Brainstorming 09-12-2012,None
"Merging of archival, museum, library roles in collections development","As collections become more heterogeneous, various curatorial roles appear to be merging",Interview,"Kennedy, Mary Lee"
"Metadata, lack of subject cataloging for",The movement towards minimal subject cataloging may have a negative impact on having rich metadata for search and discovery,Interview,"Hamburger, Jeffrey"
Metadata support for open standards,Increase in the amount of open metadata standards,Interview,"Deschner, Paul; Dulin, Kim; Weinberger, David"
Mis-match between areas of Harvard's research growth and collections growth,The areas in which Harvard has experienced growth in its research and scholarship output and those in which it has experienced collections growth are not congruent,Interview,"Stergios, Gosia"
Move from institution-centered collections to user-centered collections,Move from institution-centered collections to user-centered collections,Brainstorming 09-12-2012,None
"National mandates for open access, rise of",Rise of national mandates for Open access scholarship and publishing,Brainstorming 09-12-2012,None
"On-demand/just-in-time acquisitions, rise of and balance between",Rise of on-demand and just-in-time acquisitions practices,Interview; Notes 09-14-2012,"Malpus, Constance; Wicks, Scott"
"Open access journals (and resources), proliferation of or interest in","With the increasing costs and restrictions placed upon research journals, more researchers (and research funding agencies, like the NIH) are expressing interest in Open access publications",Interview; Notes 09-14-2012,"Brooks, Sam; Kennedy, Mary Lee; Neal, James; Pollard, Russell; Weinberger, David"
"Open access journals, lack of faculty incentive to publish in","Due to the fact that tenure decisions are often tied to publication in certain prestigious journals, there can be a lack of incentive for new/up-and-coming faculty to publish in Open access journals",Notes 09-14-2012,None
Open Education Movement,"A collective term that refers to educational organizations that seek to eliminate barriers to entry. Such institutions, for example, would not have academic admission requirements. Such universities include Open University in Britain and Athabasca University in Canada. Such programs are commonly distance learning programs like e-learning, MOOCs and open courseware, but not necessarily (Source: Wikipedia)",Brainstorming 09-12-2012; Notes 09-14-2012; Interview,"Shenton, Helen"
"Patron-driven acquisition, increased practice of","Describes the practice of acquiring resources based upon patron-demand, as opposed to acquiring resources chosen by selectors",Brainstorming 09-12-2012; Interview; Notes 09-14-2012,"Anderson, Rick; Anonymous-1; Bidlack, Beth; Eggleston, Betsey; Hickerson, Thomas; Malpus, Constance; Smith, Mackenzie"
"Physical space, implications for short- and long-term storage of print",The decreasing availability of physical space needed to store print materials is playing a role in the movement to collect more digital materials,Interview,"Hafner, Joseph; Name Suppressed"
"Primary research materials, increased collecting of by libraries","Increasingly, researchers and faculty are requesting that libraries collect, curate, and preserve primary research materials that are digital or of unusual formats (e.g. ephemera)",Interview,"Lynch, Clifford; Schwarzwalder, Bob"
"Public services, increased importance of","Services to patron are becoming increasingly important as collections, especially digital collections, require more reference or specialty services to provide maximum benefit to patrons",Interview,"Chang, James"
"Push-back against vendor pricing for resources, increased incidence of","Increasingly, libraries are pushing back against vendors regarding pricing, packaging, and terms of use for resources, including electronic resources",Interview,Anonymous-3
"Relationships with vendors having non-academic subscription models, increased number of","Increasingly, content that scholars want access to are not available from traditional publishers. This requires that libraries enter relationships with vendors that do not have traditional academic subscription models",Brainstorming 09-12-2012; Interview,"Hickerson, Thomas; Reilly, Bernie"
"Remote access to collections, patron desire for",Patrons want access to library collections from remote locations (online),Interview,"Stoller, Michael"
"Scholarly communication, new forms of",There are now few forms of communication between scholars and the scholarly community,Interview,"Lynch, Clifford; Kennedy, Mary Lee; Schulman, Andrea"
"Scholarship and/or research, new forms of",Scholarship is taking new forms beyond traditional peer-reviewed articles published in journals,Interview,"Lynch, Clifford; Kennedy, Mary Lee; Schulman, Andrea"
"Self-published content, increased rate of creation and promotion",Individuals and scholars are increasingly publishing their own content on the Web,Interview,"Shelton, Mark"
"Shadow libraries, rise of",Shadow libraries are libraries whose contents are provided to users for free. May be related to MOOCs.,Interview,"Stergios, Gosia"
"Shared catalogs, increased prevalence of","Increasingly, institutions are sharing their catalogues (e.g. OPACs) with one-another and with patrons. This is connected to new collaborations between institutions.",Interview,Anonymous-3
"Shared print collections, increased practice of","With the  increasing cost of print resources as well as physical storage space, many institutions and schools are sharing their print collections",Interview,"Hibay, Denise"
Shift from comprehensive collecting to narrowly-focused collecting,Libraries have begun shifting from collecting as broadly as possible to collecting based upon a tight interpretation of their mission. This has implications for preserving the breadth of scholarship across multiple institutions,Interview,"Eggleston, Betsey; Malpus, Constance"
Shrinking number of research libraries,"Due to larger economic forces and funding constraints, the overall number of research libraries in the United States is shrinking*",Interview,"Lynch, Clifford"
"Social networking and social media, increased scholarly use of",Scholars are increasingly using social networking to collaborate and share results and using the knowledge/relationships within these networks as sources of primary research materials,Notes 09-14-2012,None
"Special and distinctive collections, increased importance of","Libraries' special and distinctive collections have become increasingly important as libraries (and institutions) strive to emphasis the unique materials, including digital objects and print ephemera, in their collections rather than their more homogeneous contents",Interview; Notes 09-14-2012,"Anonymous-2; Hafner, Joseph; Hickerson, Thomas; Kriegsman, Sue"
"Strategic collecting between universities, rise of","Due to funding constraints and escalating costs of materials, universities have begun to cooperate in the collecting of materials",Brainstorming 09-12-2012,"Reischer, Bridget"
"Use statistics, increased importance of",Measuring the frequency with which resources has become increasingly important as collections development professionals are called upon to justify their collecting decisions,Brainstorming 09-12-2012; Interview,"Dulin, Kim; Eggleston, Betsey; Marcum, Deanna"
"Vendors offering enhanced services, increased number of","In order to find new markets for their products and to justify price increases, vendors have begun to offer enhanced services to their customers",Interview,"Hopper, Michael"
