Name	Description	Source	Interview
"Collections composition, increasingly homogeneous nature of"	"Due to funding constraints and the focus on meeting near-term curricular needs, collections are becoming increasingly homogeneous"	Interview	Anonymous-1
"Collections development workforce, increased demands on time (e.g. for teaching, technical services)"	Collections development professionals are increasingly being tasked with activities other than selecting new materials	Interview	"Stoller, Michael"
"Collections development workforce, shrinking of (e.g. bibliographers)"	"Due to competition for funding, funding constraints, and a need for staff with different skills, libraries are hiring fewer collections development professionals or not replacing them"	Interview	"Anonymous-3; Hamburger, Jeffrey"
Competition for finite resources	"There has been an increase in the cost of materials to be collected, such as serials and e-resources"	Interview	"Levenson, David"
"Commercial information industry, expansion of"	The commercial information industry is expanding into areas beyond the traditional ones such as serials	Interview	"Reilly, Bernie"
Consolidation and other changes in publishing industry	"The traditional publishing industry is currently undergoing some significant structural changes, including consolidation"	Interview; Brainstorming 09-12-2012	"Brooks, Sam; Hickerson, Thomas; Warnement, Judy"
"Content aggregators, proliferation of"	"Given the increased number of digital resources being created and that are now publicly available, there has been a proliferation of agents engaged in repackaging and aggregating these sources into consolidated data streams"	Notes 09-14-2012	None
"Content remixing, practice of"	"Given the increase availability of freely available digital resources, more individuals are remixing content they find online for use in other applications such as course work, new modes of communication, and new digital works"	Notes 09-14-2012	None
"Copyright, issues pertaining to"	As more digital content becomes available and is easy to share concerns regarding copyright and use of these materials has arisen	Notes 09-14-2012; Brainstorming 09-12-2012	None
"Cross- and inter-disciplinary scholarship and research activities, increased frequency of"	An increasing number of researchers and faculty are engaging in research and collaborations that span disciplines giving rise to more cross- (and inter-) disciplinary research activities	Brainstorming 09-12-2012; Interview	"Anonymous-3; Pollard, Russell"
"Cross-disciplinary research, funding for"	There has been increased collaboration between researchers in different fields giving rise to more cross- (and inter-) disciplinary research activities	Brainstorming 09-12-2012	None
"Data-driven collecting decisions, increased practice of (e.g. bibliometrics)"	"Increasingly, libraries are requiring that collections (and other budget items) justify their purchasing decisions using quantitative means"	Interview	"Bidlack, Beth; Levenson, David; Shieber, Stuart"
"Datasets, increased need to collect and curate"	"As more scholars become involved in research that draws upon data (e.g. computational scholarship), it has become more pressing that libraries create ways to manage the datasets that researchers generate as a side effect of their scholarship as well as the primary data that they need to perform their research"	Interview	"Kriegsman, Sue; Schwarzwalder, Bob"
"Digital collections, increased importance of"	"Patron access expectations, as well as a desire to make 'hidden' collections more accessible to others, and an increase in funding for digitization projects is driving the increased importance of library digital collections"	Interview	"Cheng, James; Der Manuelian, Peter; Hirtle, Peter; Wurl, Joel"
"Digital content and digital formats, increased patron desire for"	Related to patrons expectations that information be accessible online is their expectation that multiple formats should be available as well	Interview	"Levenson, David; Marx, Maura; Pollard, Russell"
"Digital content and digital formats, proliferation and wide availability of"	Digital content (free and that which is behind pay walls) is now widely available. Content aggregators have helped to fuel this availability	Interview; Notes 09-14-2012	"Eggleston, Betsey; Engell, James; Hickerson, Thomas; Hirtle, Peter; Levenson, David; Marx, Maura; Neal, James; Schwarzwalder, Bob; Shirey, Lynn; Stoller, Michael; Weinberger, David"
"Digital objects and resources, easy peer-to-peer sharing of"	It is easy to share digital objects via networks and services such as Bit torrent	Notes 09-14-2012	None
"Digital objects and resources, increased creation and curation by libraries"	"Increasingly, libraries are collecting, creating, and curating digital objects and resources themselves rather than purchasing them"	Interview	"Schwarzwalder, Bob"
"Digital objects and resources, increased importance to collections"	"As patron expectations now include access to digital resources, these resources have increasing importance to collections and collections development activities"	Interview	"Cheng, James; Marx, Maura"
"Digital objects that are entangled with hardware, proliferation of"	"Increasingly, digital objects are entangled with hardware platforms. E-books are an example of this, where some formats (e.g. EPUB) only work on certain e-readers"	Notes 09-14-2012	None
"Digital objects that are entangled with services, proliferation of"	"Increasingly, digital objects are entangled with services and/or software (e.g. GIS datasets and architectural data). For instance, some data formats can only be used with certain software that must be licensed"	Notes 09-14-2012	None
"Digital resources, the transient nature and proliferation of"	"Many digital resources, such as websites, are transient and may disappear entirely  at the whim of the creator, due to technical obsolescence, a decision made by an information hosting service (e.g. Facebook), or other reasons"	Interview	"Danielson, Virginia; Kriegsman, Sue"
Digital Rights Management (DRM)	Many information vendors encumber their digital resources with DRM which makes challenging to meeting users expectations about information availability and cost	Brainstorming 09-12-2012; Notes 09-14-2012	None
"Digitization of materials, increase in"	"Increasingly, libraries are digitizing their unique holdings and also digitizing some materials (e.g. articles in serials or chapters of monographs) for limited access to patrons"	Interview	"Name Suppressed; Wurl, Joel"
"Digitization projects, changes in funding for"	"Increasingly, organizations are getting funding to digitize existing print collections"	Brainstorming 09-12-2012; Interview	"Hamberger, Jeffrey; Wurl, Joel"
Discipline-specific format needs	The formats for digital objects vary according to discipline	Brainstorming 09-12-2012; Interview	Anonymous-2
Disruption of government information channels	Communities and groups like Wikileaks are disrupting traditional government information channels	Interview	"Reilly, Bernie"
"E-books, inconsistent quality of"	"E-books can be of spotty quality, having OCR artifacts, poor formatting, and other negative features that make them less desirable than their print companions"	Interview	"Danielson, Virginia"
"E-resources, changing licensing models"	Publishers are changing how they license e-resources which affects patron access and ownership rights	Interview	"Byrd, Bob"
"E-resources, increased complexity of pricing models"	"Pricing models for e-resources are becoming increasingly complex, taking into access demand, type of resource, point-of-access, and the like"	Interview	"Jakubs, Deborah"
"E-resources, increased cost of"	The price of licensing e-resources is rising	Interview	"Anonymous-2; Byrd, Bob; Eggleston, Betsey; Hibay, Denise; Levenson, David; Marcum, Deanna; Reischer, Bridget; Thomas, Richard"
"E-resources, increased demand for"	"Given patron expectations regarding access, the demand for e-resources is increasing"	Interview	"Brooks, Sam; Marx, Maura"
"E-resources, proliferation of"	The publishing industry has responded to the demand for e-resources by making more of them more widely available (for a fee). The digital revolution has also made it easier to self-publish digital resources	Interview	"Anonymous-2; Hibay, Denise; Jakubs, Deborah; Marx, Maura; Name Suppressed-B; Schwarzwalder, Bob"
Effect of globalization on information lifecycle	"The globalization of scholarship, the increasing demands for content from around the world, and increase in collaborations between global researchers  has affected the entire information lifecycle, from the creation of information to its maintenance and preservation"	Notes 09-14-2012	None
Embedded digital objects	"Given the proliferation of digital content, users are now embedding these digital objects into other objects to create new works. See content remixing and the Open Education Movement as an example."	Notes 09-14-2012	None
Expectation (mistaken) that all new knowledge in all disciplines is born-digital	"Given the wide availability of search engines and content aggregators, some users are under the mistaken impression that all new knowledge is born-digital."	Interview; Notes 09-14-2012	"Shirey, Lynn"
Expectation that all information should be free of cost	"Given the wide availability of search engines and content aggregators, many users are under the impression that all digital information should be free of cost. This expectation has transformed industries such as the music and newspaper industries."	Interview; Notes 09-14-2012	"Shirey, Lynn"
Expectation that all information should be freely available	"Given the wide availability of search engines and content aggregators, many users are under the impression that all digital information should be easy to access online and accessible via technologies like search engines. As a result, information resources that are behind paywalls or that reside in databases (and other 'dark web' sources) are ignored or de-emphasized"	Interview	"Cheng, James; Ratkinskaya, Anna; Shirey, Lynn"
"Free resources, availability of"	There is a tremendous amount of free and freely available content on the Web	Interview	"Ratkinskaya, Anna"
Funding competition	There is increased competition for funding within libraries and wider institutions. Collections development budgets have been affected as a result.	Interview	"Bidlack, Beth; Dulin, Kim; Weinberger, David; Neal, James"
Funding constraints	Libraries have been under increasing funding constraints due to budget cuts in other areas and the impact of the overall economy on institutional expenditures	Brainstorming 09-12-2012; Interview; Notes 09-14-2012	"Anderson, Rick; Anonymous-1; Anonymous-3; Danielson, Virginia; Der Manuelian, Peter; Deschner, Paul; Dulin, Kim; Eggleston, Betsey; Hamburger, Jeffrey; Hibay, Denise; Hirtle, Peter; Jakubs, Deborah; Marcum, Deanna; Neal, James; Pollard, Russell; Reischer, Bridget; Robinson, Tracey; Rudenstine, Neil; Sheehy, Matthew; Shirey, Lynn; Stoller, Michael; Thomas, Richard; Weinberger, David; Wicks, Scott"
"Funding of public vs. private universities, asymmetric impact of"	Public and private universities have different funding models. Public universities may be more affected by changes in government funding models whereas private universities may be affected more by factors that influence donors and the side/distribution of their endowments.	Interview	Anonymous-1
"Funding, decline of external funding sources"	"Overall, funding for libraries from external sources (e.g. government revenues and grants) has decreased"	Interview	Anonymous-1
Globalization of disciplines	There is increased world-wide participation of scholars in many disciplines	Interview	"Robinson, Tracey; Rudenstine, Neil"
Increased competition in the information ecology	Changes information technology have made it possible for new vendors to entire the market and for existing vendors to publish and distribute content in new ways leading to increased competition in the industry.	Interview	"Shenton, Helen"
Increased costs associated with information lifecycle	"Overall, costs to acquire, maintain, and preserve information have risen, both for print and digital materials"	Notes 09-14-2012	None
Increased quality of information resources	"Overall, the quality (e.g. image resolution, better curation) has improved"	Interview	"Levenson, David"
"Information and information delivery, impact of technology upon"	"Technology, such as the Internet and the World Wide Web, has had a significant impact on how information is created, its format, and how it is delivered"	Interview	"Shelton, Mark; Wicks, Scott"
"Information commons, debate about role of in collecting"	"Describes an information system, such as a physical library or online community, that exists to produce, conserve, and preserve information for current and future generations (Source: Wikipedia)"	Interview	Anonymous-1
"Information seeking and discovery, changes in"	"The manner in which users seek and find information has changed, largely due to technological changes and the resulting changes in their expectations"	Interview	"Sheehy, Matthew; Shelton, Mark; Wicks, Scott"
"Interdisciplinary scholarship, increased instances of"	"Interdisciplinary research is any study or group of studies undertaken by scholars from two or more distinct scientific disciplines. The research is based upon a conceptual model that links or integrates theoretical frameworks from those disciplines, uses study design and methodology that is not limited to any one field, and requires the use of perspectives and skills of the involved disciplines throughout multiple phases of the research process (Source: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1955232/)"	Interview	"Anonymous-2; Anonymous-3; Pollard, Russell"
"Internet, explosive growth of"	"Driven in part by the rise of Web technologies and innovations in information technology, there has been explosive growth in internet- and Web-based services and products"	Interview	"Descher, Paul; Dulin, Kim; Reilly, Bernie; Robinson, Tracey; Shelton, Mark"
"Justification of information resource purchases, increased pressure for"	"Increasingly, libraries are requiring that collections (and other budget items) justify their purchasing decisions using quantitative means"	Notes 09-14-2012	"Schwarzwalder, Bob"
"Knowledge, increased proliferation and wide availability of"	"Information of all types, print and digital, is available in massive quantities and increasing amounts"	Interview	"Descher, Paul; Dulin, Kim; Hickerson, Thomas; Shenton, Helen"
"Library size, effect on collections mission and scope"	The size of a library (and its home institution) will have an impact on its collecting mission and scope	Interview	Anonymous-1
Mismatch between budget size and growth of knowledge	Scholarly output and the availability of primary research materials has outpaced the budgets of libraries and other institutions to purchase them	Interview	"Hibay, Denise; Pollard, Russell"
Mismatch between use of journals and purchase patterns for journals	"Due to the fact that e-resources and serials must be purchased as bundles, there is often a mismatch between the resources that are purchased and the resources that are actually used by patrons"	Interview	"Shieber, Stuart"
"Mobile computing, growth of"	An increasing number of users have mobile devices and expect to be able to use them to access library resources	Brainstorming 09-12-2012; Notes 09-14-2012	"Deschner, Paul; Dulin, Kim; Weinberger, David"
Multiple owners of primary source material	"Due to complexities in the production of knowledge and digital objects, sometimes there may be multiple owners of primary source material (e.g. individual blogger vs. blog hosting service; remixed or embedded content)"	Brainstorming 09-12-2012	None
"New media and content producers, rise of"	"New media refers to on-demand access to content any time, anywhere, on any digital device, as well as interactive user feedback, creative participation and community formation around the media content. Another important promise of new media is the democratization of the creation, publishing, distribution and consumption of media content. Another aspect of new media is the real-time generation of new, unregulated content (Wikipedia)"	Interview	"Hickerson, Thomas; Kennedy, Mary Lee"
"Open access journals (and resources), need to insert practices into existing research workflows"	"With the rise of Open access scholarship, there is a need to incorporate these practices into existing knowledge production workflows to ensure maximum participation by researchers and faculty"	Interview	"Kriegsman, Sue"
"Open access journals (and resources), proliferation of or interest in"	"With the increasing costs and restrictions placed upon research journals, more researchers (and research funding agencies, like the NIH) are expressing interest in Open access publications"	Interview	"Brooks, Sam; Hickerson, Thomas; Kriesgman, Sue; Lynch, Clifford; Rudenstine, Neil"
"Open access journals, lack of faculty incentive to publish in"	"Due to the fact that tenure decisions are often tied to publication in certain prestigious journals, there can be a lack of incentive for new/up-and-coming faculty to publish in Open access journals"	Brainstorming 09-12-2012	None
Open APIs	"A term used to describe sets of technologies that enable websites to interact with each other by using REST, SOAP, JavaScript and other web technologies. While its possibilities aren't limited to web-based applications, it's becoming an increasing trend in so-called Web 2.0 applications (Source: Wikipedia)"	Interview; Notes 09-14-2012	"Lynch, Clifford"
Open Education Movement	"A collective term that refers to educational organizations that seek to eliminate barriers to entry. Such institutions, for example, would not have academic admission requirements. Such universities include Open University in Britain and Athabasca University in Canada. Such programs are commonly distance learning programs like e-learning, MOOCs and open courseware, but not necessarily (Source: Wikipedia)"	Brainstorming 09-12-2012; Interview	"Shenton, Helen"
Organizational and technical infrastructure to handle born-digital content; development of	"Born-digital objects requires an organizational, technical, and skills infrastructure to manage them over their lifecycle. This is a different infrastructure than that needed to manage the lifecycle of print resources."	Brainstorming 09-12-2012	None
"Patron engagement with library, changing modes of"	"Patrons are now engaging with, and expect to engage with the library and library collections in different ways. For instance, they may expect remote access, access via search engines, etc."	Interview	"Anderson, Rick; Hirtle, Peter; Schwarzwalder, Bob"
"Patron-driven acquisition, increased practice of"	"Describes the practice of acquiring resources based upon patron-demand, as opposed to acquiring resources chosen by selectors"	Interview	"Hickerson, Thomas; Smith, Mackenzie"
"Physical space, constraints on (including costs)"	The decreasing availability of physical space needed to store print materials is playing a role in the movement to collect more digital materials	Brainstorming 09-12-2012; Interview; Notes 09-14-2012	"Bidlack, Beth; Stoller, Michael"
"Physical space, declining library patron use of"	Patrons have changing expectations about how library space should be used	Interview	"Schwarzwalder, Bob"
Political influence on information lifecycle at institutional level	"Politics at the institutional level affects how funding is allocated for different aspects of the information lifecycle, from acquisition to long term preservation, especially who should be responsible for which aspect. For instance, money may be preferentially allocated to IT expenses than to acquisition of print resources"	Notes 09-14-2012	None
Political influence on information lifecycle at library level	"Politics at the library level affects how funding is allocated for different aspects of the information lifecycle, from acquisition to long term preservation, especially who should be responsible for which aspect. For instance, money may be preferentially allocated to acquiring digital resources rather than print resources"	Notes 09-14-2012	None
Political influence on information lifecycle at state or national level	"Politics at the state and nation level affects how funding is allocated for different aspects of the information lifecycle, from acquisition to long term preservation, especially who should be responsible for which aspect. For instance, there may be less funding available for preservation of digital resources than digitization of existing collections"	Notes 09-14-2012	None
Print-to-digital transition	"In many disciplines, there has been a migration in publishing from print resources to digital resources"	Interview	"Anderson, Rick; Engell, James; Malpus, Constance; Warnement, Judy"
Privacy concerns and issues	"With the proliferation of digital data, networks, and digital scholarship, there is increased concern about the privacy of content creators and users of content"	Brainstorming 09-12-2012	None
"Record of scholarship, changing nature of"	"Due to changes in the format of knowledge produced (e.g. social networks, digital portfolios, datasets), the record of scholarship is also changing"	Interview	"Stergios, Gosia"
"Relationships with vendors having non-academic subscription models, increased number of"	"Increasingly, content that scholars want access to are not available from traditional publishers. This requires that libraries enter relationships with vendors that do not have traditional academic subscription models"	Interview	"Hickerson, Thomas; Smith, Mackenzie"
"Remote access to collections, patron desire for"	Patrons want access to library collections from remote locations (online)	Interview	"Anderson, Rick"
"Researcher needs, increasingly eclectic nature of"	Researchers no longer want access to traditional print materials. They also want access to other resources such as data sets and information services.	Interview	"Danielson, Virginia"
"Scholarly communication, new forms of"	There are now few forms of communication between scholars and the scholarly community	Interview	"Byrd, Bob; Harvey, Aisha; Hickerson, Thomas; Schulman, Andrea"
"Scholarly publication, increased rate of"	"With new forms of scholarship, in addition to new journals (e.g. Open access), there has been an increase in the amount of scholarship produced"	Interview	"Eggleston, Betsey; Hibay, Denise"
"Scholarship and/or research, new forms of"	Scholarship is taking new forms beyond traditional peer-reviewed articles published in journals	Interview	"Anderson, Rick;Byrd, Bob; Harvey, Aisha; Hibay, Denise; Hickerson, Thomas; Kriegsman, Sue; Name Suppressed; Reilly, Bernie; Rudenstine, Neil; Schulman, Andrea; Shirey, Lynn; Stergios, Gosia"
"Scholarship and/or research, new inputs to"	"Due to the digital revolution, there are now new inputs (primary materials) to scholarship"	Interview	"Byrd, Bob; Malpus, Constance; Reilly, Bernie; Rudenstine, Neil; Smith, Mackenzie"
"Self-published content, increased rate of creation and promotion"	Individuals and scholars are increasingly publishing their own content on the Web	Brainstorming 09-12-2012	
"Serials, increased cost of"	"Like e-resources, the cost of serials has increased as well"	Interview	"Anonymous-2; Levenson, David; Marcum, Deanna; Reischer, Bridget"
Shift from comprehensive collecting to narrowly-focused collecting	Libraries have begun shifting from collecting as broadly as possible to collecting based upon a tight interpretation of their mission. This has implications for preserving the breadth of scholarship across multiple institutions	Interview	"Anonymous-2; Eggleston, Betsey"
"Social networks and social media, rise of"	"Online services, platforms, or sites that focus on facilitating the building of social networks or social relations among people who, for example, share interests, activities, backgrounds, or real-life connections (Source: Wikipedia)"	Notes 09-14-2012	"Harvey, Aisha; Rudenstine, Neil"
"Special and distinctive collections, increased importance of"	Libraries' special and distinctive collections have become increasingly important as libraries (and institutions) strive to emphasis the unique materials in their collections rather than their more homogeneous contents	Interview	"Blouin Jr., Fancis X.; Malpus, Constance"
"Streaming media and services, rise of"	"Multimedia that is constantly received by and presented to an end-user while being delivered by a provider. Its verb form, to stream, refers to the process of delivering media in this manner; the term refers to the delivery method of the medium rather than the medium itself (Source: Wikipedia)"	Notes 09-14-2012	None
Tension between available funding and resource needs	There is an obvious tension between the funding libraries have and the resources that their patron want	Interview	"Pollard, Russell"
Tension between local collection needs and greater-Harvard needs	"Within Harvard, there is tension between collection needs at local libraries and the needs of the greater institution"	Brainstorming 09-12-2012	None
"Traditional information distributors, diminished role of"	"With the rise of non-traditional (or locally produced) materials being demanded by patrons, the role of the traditional information publisher is slowly declining"	Interview	"Hickerson, Thomas"
"Use statistics, increased importance of"	Measuring the frequency with which resources has become increasingly important as collections development professionals are called upon to justify their collecting decisions	Interview	"Shieber, Stuart"
Vendor adoption of e-commerce practices	Some vendors (of specialty publications or specialty books) are just beginning to adopt e-commerce practices making it easier for institutions to purchase their offerings	Interview	"Ratkinskaya, Anna"
