Date	Type	Topics	Summary	Report
3-May-13	Discussion session	Collections development is local	Comment that there appears to be a contradiction between collecting as a local activity and a unified collection belonging to the University as a whole. How can this contradiction be resolved?	Collections remain local but there is significant collaboration via collaboratives to ensure that there is cohesion among the libraries across Harvard
3-May-13	Discussion session	Collaboration and/or coordination (internal)	"Query about which role, group, or groups monitors interdisciplinary collecting decisions?"	"Academic planning committees, collaboratives, collections development polices all contribute to 'looking after' interdisciplinary interests"
3-May-13	Discussion session	Governance	Suggestion made to illustrate the various governance models that have been proposed.	"Governance has been removed entirely from the Final Report, has been alluded to in Next Steps. The Science Librarians are developing a Venn diagram for subjects showing overlaps/etc."
3-May-13	Discussion session	Collections development policies	Query whether Library of Congress subject headings be chosen as the common language for all collections development policies?	LC is out of the report at this moment; a system will be discussed during the Implementation Phase.
3-May-13	Discussion session	Governance	Query about strategies for setting up the facilitator role for collections governance.	Governance has been removed entirely from the Final Report
3-May-13	Discussion session	Funding	A fund to support interdisciplinary collections was proposed.	Funding and implementation was not in scope for this Final Report.
3-May-13	Discussion session	Funding	Query about the implications of the fact that schools add new research areas but do not necessarily fund library support for those programs?	Funding and implementation was not in scope for this Final Report.
3-May-13	Discussion session	Document development process	Query about whether there any surprises that the Affinity Group Heads encountered during their research?	None needed
3-May-13	Discussion session	Alignment with the curriculum (pedagogical materials)	Appreciation was expressed for the emphasis in the report on learning objects and pedagogical materials.	None needed
3-May-13	Discussion session	Collaboration and/or coordination (external)	Examples of external collaborations were requested.	None needed
3-May-13	Discussion session	Harvard Depository	Query about the controversial nature of the Harvard Depository recommendation.	None needed
6-May-13	Discussion session	Collaboration and/or coordination (internal); Governance	Query about the relationship between the collaboratives and the proposed governance models.	Governance has been removed entirely from the Final Report
6-May-13	Discussion session	Collaboration and/or coordination (internal); Governance	Query about the authority/control the facilitator or facilitating group would have over decision rights.	Governance has been removed entirely from the Final Report
6-May-13	Discussion session	Funding; Governance	Query about the relationship between governance models and funding from the schools.	Governance has been removed entirely from the Final Report
6-May-13	Discussion session	Governance	Query about the value of the hybrid system of collections development (where collecting decisions remain local but there is a higher level of coordination).	None needed
6-May-13	Discussion session	Harvard Depository	"Opinion expressed that libraries, as a whole, need to identify new ways to work with the Depository and possibly new ways of deciding what materials are sent to the Depository."	Recommendation #9 was rewritten to accommodate investigation into use of HD
6-May-13	Discussion session	Collections development policies	Surprise expressed that many libraries do not have collections development policies.	None needed
6-May-13	Discussion session	Digital materials (digitized from Harvard collections)	"Suggestion made that it would be ideal to have a strategic, coordinated program to support the digitization of Harvard's holdings. "	Recommendation #10 now explicitly calls for the creation of a digitization program
6-May-13	Discussion session	Harvard Depository; Collections development policies	"Query about the future of the Harvard Depository, specifically its policies for deposit and use."	Recommendation #9 was rewritten to accommodate investigation into use of HD
6-May-13	Discussion session	Collaboration and/or coordination (internal)	Suggestion that librarians more readily share information that they are getting from vendors to avoid having vendors play one library against another.	Collaboratives mentioned in Recommendation #7 addresses this topic; Also Recommendation #1 covers better coordination for acquiring e-resources.
6-May-13	Discussion session	Implementation	Query about the timeline for implementation of these recommendations?	"Implementation, including a suggested timeline, has now been included in the Next Steps of the report."
8-May-13	Discussion session	Document development process	Query about the response has the document had thus far: have there been any specific areas of enthusiasm?	Lack of collections development policies was a big surprise.
8-May-13	Discussion session	Collections development is local	Appreciation was expressed for the recognition that collections development should remain local and for the expertise in each local library.	None needed
8-May-13	Discussion session	Digital materials; Infrastructure; Technology and tools	"Observation that more and better infrastructure, including availability of project managers, is needed to help repositories complete small-scale and large-scale digital projects."	"Recommendation #10 now explicitly calls for the creation of a digitization program; Dependencies mention more infrastructure, including staff."
8-May-13	Discussion session	Collections development policies; Collaboration and/or coordination (internal)	Agreement was expressed with the recommendation that all libraries have and share written collections development policies to support intra-Harvard collaborations. Query was raised about external collaborations as well.	External collaborations are addressed in Recommendation #8
8-May-13	Discussion session	Collaboration and/or coordination (internal); Document development process	Appreciation was expressed about the outreach around this document to encourage and solicit community engagement and discussion.	None needed
8-May-13	Discussion session	Digital materials (Open Access)	Query about the commitment of Harvard to Open Access.	"Recommendation #1 speaks to Open Access, as does the Executive Summary. Setting Open Access policy is outside the purview of this report."
8-May-13	Discussion session	Collaboration and/or coordination (internal)	Desire expressed for a framework (infrastructure) to support collections development projects beyond digital projects.	Collaboratives mentioned in Recommendation #7 addresses this topic.
8-May-13	Individual Feedback	Digital materials; Digital materials (digitized from Harvard collections)	One participant provided comprehensive suggestions about digitization projects.	Feedback was incorporated into Recommendation #10.
9-May-13	Affinity Group Meeting	Document development process	"Query about modifications that have been made to the document thus far, especially regarding minimization of duplication."	"Not all the elements of the Interim Reports were incorporated into the Discussion Document, and then the later Final Report"
9-May-13	Affinity Group Meeting	Collections development policies; Decision rights; Duplication	"Query about current, on-going work to minimize duplication, and the prioritization of strategies proposed in the document against work that is currently being undertaken."	These issues around priorities are addressed in the Dependencies section and the Next Steps. This Final Report forces consideration of collections development into the discussion and planning of other initiatives
9-May-13	Affinity Group Meeting	Digital materials	"Query regarding digital materials and if the recommendations apply to formats beyond print, such as images."	"Recommendation #10 was added, language about multiple formats was added in Recommendation #3."
9-May-13	Affinity Group Meeting	Collaboration and/or coordination (internal); Technology and tools	Desire expressed for greater library and faculty collaboration and engagement.	"Recommendation #5, partnering with faculty, addresses part of this issue. External collaborations are addressed in Recommendation #8"
9-May-13	Affinity Group Meeting	Faculty engagement	Query about the methods for achieving faculty buy-in to implement recommendations.	The Final Report was prepared with direct engagement between the AGHs and faculty members.
9-May-13	Affinity Group Meeting	Human resource sharing; Implementation	Query about whether other institutions have had success with using 'embedded librarians'.	Indirectly part of Recommendation #5 working directly with faculty. It is also in the Dependencies section. We have also emphasized the fact that collections development is a local enterprise.
9-May-13	Affinity Group Meeting	Collections development policies	Query about community response to recommendation about collections development policies.	"Community response was mostly positive, and Recommendation #6 was clarified to address local needs and to state more clearly what the goal of creating policies is."
9-May-13	Affinity Group Meeting	Metrics	Query about who will be responsible for designing and conducting assessments.	This topic falls into the Implementation of the recommendations; outside of the purview of this document.
9-May-13	Affinity Group Meeting	Differences between disciplines; Digital materials (e-resources)	Comment that there are differences between disciplines (possibly relating to electronic resources?).	Greater acknowledgement of the differences between disciplines throughout the Final Report.
9-May-13	Affinity Group Meeting	General criticism	Comment that flexibility (in collecting?) is desirable.	The collections development policy components allow for great deal of flexibility.
9-May-13	Affinity Group Meeting	Harvard Depository	Query regarding the recommendation involving the Harvard Depository.	Recommendation #9 was rewritten to accommodate investigation into use of HD
9-May-13	Affinity Group Meeting	Digital materials (digitized from Harvard collections); Digital materials (e-resources); Terminology	Request was made to clarify the term 'digital materials.'	"Recommendation #10 was added, language about multiple formats was added in Recommendation #3."
9-May-13	Affinity Group Meeting	Scan and deliver	Comment that digitization of materials should be carefully planned. Can be valuable for special collections materials.	Recommendation #10 was added to suggest the creation of a digitization program.
9-May-13	Affinity Group Meeting	Faculty engagement; Governance	"Observation that faculty buy-in is essential to implement some of the recommendations, especially the governance models."	The Final Report was prepared with direct engagement between the AGHs and faculty members. Governance is outside the scope of this Final Report.
9-May-13	Affinity Group Meeting	Governance	Comment that the governance role could be a larger task than could be accomplished by a single person	Governance is outside the scope of this Final Report.
9-May-13	Affinity Group Meeting	Governance	Observation that groups tend to have slow response times	"Collaboratives are designed to be nimble, and other governance/implementation issues are out of scope for the Final Report. Ad hoc, as well as longer term working teams have also been recommended."
9-May-13	Affinity Group Meeting	Governance	Queries about the mechanics of the governance models.	Governance is outside the scope of this Final Report.
9-May-13	Affinity Group Meeting	Governance	"Clarification suggested about the governance models, in particular the sections in bold."	Governance is outside the scope of this Final Report.
9-May-13	Affinity Group Meeting	Differences between disciplines	Query about how best to manage the differing needs of the various faculties.	"Differences between disciplines are acknowledged throughout the report, such as the Executive Summary."
9-May-13	Affinity Group Meeting	Shared services involvement	Query regarding how the recommendations interact with/intersect with the shared services.	The Final Report was prepared with input from Shared Services.
9-May-13	Affinity Group Meeting	Scan and deliver	Query about whether the scan and deliver service still operates locally.	None needed
9-May-13	Affinity Group Meeting	Digital materials (digitized from Harvard collections)	Comment needs further interpretation.	"Recommendation #10 explicitly calls for the creation of a digitization program, "
10-May-13	Online Forum	Faculty engagement	Desire expressed for more faculty engagement with collections development professionals.	"This faculty member was contacted directly about collections development in the specific subject area of interest. The Final Report also emphasizes working directly with faculty in several places including the Executive Summary, Introduction, and Recommendations #2, #3, #4, #5, #14, and Next Steps."
13-May-13	Affinity Group Meeting	Motivation; Document development process	Query about the purpose and motivation of the document: is it a collections development policy or a statement of a strategic direction?	None needed
13-May-13	Affinity Group Meeting	Collaboration and/or coordination (internal); Implementation	Concern raised over the implications of implementing the recommendations.	"Implementation suggestions, including a suggested timeline, has now been included in the Next Steps of the report."
13-May-13	Affinity Group Meeting	Duplication	Query about the current level of duplication across the libraries.	"A direct response was not needed in the report. Overlap of effort is addressed, rather than duplication of materials."
13-May-13	Affinity Group Meeting	Collecting for the ages (versus immediate needs); Implementation	Query about how best to meet current needs while simultaneously collecting for the ages.	The concept was clarified throughout the Final Report
13-May-13	Affinity Group Meeting	Staffing concerns	"Concern raised about the staffing implications of the recommendations, especially staffing at Widener Library."	Collections development remains a local function. Implement details like this are not in the scope of this report.
13-May-13	Affinity Group Meeting	Harvard Depository	Concern raised over long term storage at Harvard Depository and general deaccessioning	"Recommendation #9 was reworded to specify the review of current use and support for the Harvard Depository. Also, #12 (Courier Service) may also help reduce the need for some duplication."
13-May-13	Affinity Group Meeting	Collaboration and/or coordination (internal); Implementation	Assertion made that having the participation of members of FAS is essential to implement the recommendations successfully.	"Open Sessions were held to allow for participation in the development of the report. Otherwise, this is a local issue."
13-May-13	Affinity Group Meeting	Collections development policies	Suggestions made about alternate ways to make use of the information stored in the collections development policies in the recommendation. 	None needed
13-May-13	Affinity Group Meeting	Collections development policies; Collaboration and/or coordination (internal)	Observation that some of the recommendations may override local collections development policies.	"Yes, this true. There will need to be collaboration in the development and maintenance of these policies so Harvard can collect more materials."
13-May-13	Affinity Group Meeting	Collections development policies; Governance	Concern expressed at coordinating changes to collections development policies and practices when those decisions will impact other libraries.	Collaboratives were proposed in Recommendation #7 and an on-going practice of evaluation is proposed in Recommendations #6 and #13.
13-May-13	Affinity Group Meeting	Collections development is local	Observation that the choice to purchase digital versus print materials is and/or should be a local issue.	"Yes, the principle that collections are local is reaffirmed throughout the document."
15-May-13	Discussion session	Collaboration and/or coordination (internal)	Suggestion to adopt a geographical approach to collaborative collections development 	This is a recommendation about how to implement coordinated activities; This will be discussed as collaboratives are formed.
15-May-13	Discussion session	Shared services involvement	Observation that technical services will be impacted by implementing more coordination and collaboration for collections development.	This is addressed in the Dependencies section of the Final Report and Recommendation #4.
15-May-13	Discussion session	Harvard collections (composition of)	Query about subject gaps across collections.	This topic will be addressed when collections development policies are implemented and shared and searchable.
15-May-13	Discussion session	Governance; Collaboration and/or coordination (internal); Collaboration and/or coordination (external)	Concern about the scope of the governance activities and that it could generate needless bureaucracy.	Governance was removed from the Final Report.
15-May-13	Discussion session	Collaboration and/or coordination (internal)	"Observation that current collaborations are informal, have varying degrees of organization, and that sometimes decision rights are determined by which library places an order first."	This topic will be addressed after implementation of collections development policies data gathering.
15-May-13	Discussion session	Terminology	Concern about the terminology of 'coherent collection' and its implications.	"The term 'intellectually coherent' was rephrased as 'cohesive collection'. Also, Recommendation #3 specifically discusses the art of collecting, also collecting data does not mean that collecting  cannot be an art."
15-May-13	Discussion session	Duplication	Observation that differing levels of public access in libraries may influence duplication of some materials.	Necessary duplication is acknowledged in the report (Recommendation #11)
15-May-13	Discussion session	Governance; Collections development policies	"Suggestion of having a council with a rotating membership for governing, rather than a single person. Also, an observation about current collections development policies having been written in 'silos'."	Governance topic was removed from Final Report
15-May-13	Discussion session	Governance; Collaboration and/or coordination (internal)	Query about how collaboratives can reach consensus.	"Governance topic was removed from Final Report; this topic might be addressed during the implementation phase. Decision rights issues, however, are acknowledged directly in the Final Report."
15-May-13	Discussion session	Governance	Query about what a single facilitator model might look like at Harvard.	Governance topic was removed from Final Report
15-May-13	Discussion session	Governance; Collections development policies	Query about whether the facilitator would oversee the rewriting of collections development policies.	Governance topic was removed from Final Report; this topic might be addressed during the implementation phase.
15-May-13	Discussion session	Harvard Depository; Scan and deliver	Correction to the document regarding Harvard Depository's participation in Scan and Deliver	Recommendation for scanning at HD was removed from the Final Report.
16-May-13	Library Staff Meeting	Collaboration and/or coordination (internal); Staffing concerns	Comment that librarians are already working collaboratively and that the report doesn't recognize staff time involved in those endeavors.	The Final Report now does explicitly acknowledge current collaborations  (e.g. Recommendation #7 with the Science Libraries Collaboratives)
16-May-13	Library Staff Meeting	General criticism	Clarity is sought on some of the recommendations and in justifying why some of the recommendations have been made.	The Final Report now does explicitly acknowledge current collaborations  (e.g. Recommendation #7 with the Science Libraries Collaboratives)
16-May-13	Library Staff Meeting	Digital materials; Infrastructure; General criticism	Suggestion made that the document should reflect the need for a robust infrastructure to support digital resources.	"Reflected in the Dependencies section of the Final Report, and in the cautions for Recommendation #4, Recommendation #10 calls for the development of a digitization program."
16-May-13	Library Staff Meeting	Differences between disciplines; Digital materials	Observation that the emphasis on digital content may be at the expense of those disciplines and users who prefer or need print materials.	"The Final Report acknowledges differences between disciplines in Challenges of Recommendation #1, and the Executive Summary, and in the text of Recommendation #1."
16-May-13	Library Staff Meeting	Digital materials (e-resources); General criticism	General observation that Springer has performed analysis on e-resource usage; this document should incorporate the results of that analysis.	None needed
16-May-13	Library Staff Meeting	Staffing concerns	Suggestion that the report should emphasize the need for more staff/staffing support in order to implement the recommendations.	"The Dependencies section of the Final Report specifically mentions the need for staff and staff enrichment. Also, staffing is a local decision."
16-May-13	Library Staff Meeting	Differences between disciplines; Digital materials	Observation that the emphasis on e-resources does not address the needs of all faculty.	"The Final Report acknowledges differences between disciplines in Challenges of Recommendation #1, and the Executive Summary, and in the text of Recommendation #1."
16-May-13	Library Staff Meeting	Differences between disciplines	Observation that differing disciplines have differing needs for print versus digital resources.	"The Final Report acknowledges differences between disciplines in Challenges of Recommendation #1, and the Executive Summary, and in the text of Recommendation #1."
16-May-13	Library Staff Meeting	Motivation	Query about the audience for this document.	"The audience is generally understood to be librarians, and the glossary was added for non-librarians, including faculty."
16-May-13	Library Staff Meeting	General criticism	Observation that the recommendations made in the document are out-of-step with the current state of Harvard Libraries	"Interviews with current leaders in the field that informed the document substantiate that these are the issues that are current. In the Introduction to the Final Report, the document reflects current discussion the field such as the Global Dimensions Conference in December 2012"
16-May-13	Library Staff Meeting	Collections development policies; General criticism	General dislike of the phrasing of the language employed in the collections development policies templates.	The Final Document avoids language in the collections development policy template that is overly prescriptive.
16-May-13	Library Staff Meeting	Digital materials (digitized from Harvard collections); Digital materials (e-resources)	Observation that some types of materials should be digitized immediately and that Harvard should not rely upon vendor to ensure long-term access for digital materials.	"Recommendation #1 addresses issue of trustworthy sources, and Recommendation #10 calls for the creation of a digitization program; Recommendation #3 acknowledges archival issues."
16-May-13	Library Staff Meeting	Differences between disciplines; Digital materials; Staffing concerns	Observation that reductions in staffing make it especially difficult to address digital needs as well as print needs.	"Staffing is a local issue and is not addressed explicitly in the Final Report except for in the Dependencies where the value/importance of staff and staff enrichment is emphasized. Overall, collaboration mitigates some of these issues."
16-May-13	Library Staff Meeting	Collecting for the ages (versus immediate needs); Terminology	Request that 'honing the scope of permanent collections' be rephrased to provide a more nuanced reading and to address the problem that focusing on current needs may be detrimental to collecting for the future.	"All of these topics are addressed in the Final Report, particularly language in Recommendation #2 has been changed to address concern."
16-May-13	Library Staff Meeting	Funding; Staffing concerns	"Concern that recommendation #3 has staffing implications, recommendation #1 has cost implications because digitization is expensive."	All of these overarching issues are addressed in the Final Report.
16-May-13	Library Staff Meeting	User-centric focus; Infrastructure; Collaboration and/or coordination (external)	Suggestion that Harvard could benefit from an infrastructure (possibly including Shibboleth) that would make resources seamlessly available to users; this would support recommendation #4.	The word 'seamless' was removed from the language of Recommendation #4.
16-May-13	Library Staff Meeting	Digital materials (digitized from Harvard collections); Faculty engagement; Staffing concerns	"General observation that digitization work does occur on behalf of the faculty, and that this work is expensive and time-consuming"	This issues is addressed in Recommendation #5 partnering with faculty.
16-May-13	Library Staff Meeting	General criticism	"Observation that costs and benefits (of recommendations, perhaps?) are not always clear in the document."	"Some recommendations, once adopted, will need costing , for example, the HD recommendation."
16-May-13	Library Staff Meeting	Harvard Depository; Implementation	General dislike was expressed over the idea of the Harvard Depository circulating holdings becoming one collection.	The reference to HD as single library was removed entirely and Recommendation #9 was reworded to review current use and support for the Harvard Depository.
16-May-13	Library Staff Meeting	Collections development policies	Comment that using Library of Congress subject classifications for collections development policies would be onerous and not provide a great deal of benefit.	The language in the Final Report's Recommendation #6 was altered to address local concerns.
16-May-13	Library Staff Meeting	Collaboration and/or coordination (internal)	"Comment that selectors already collaborate, especially in particular areas like human rights, archaeology, and food studies."	The Final Report recommends expanding and formalizing these collaborations.
16-May-13	Library Staff Meeting	Collections development policies	Observation that the Botany Library has found the collections development policy document useful.	None needed
16-May-13	Library Staff Meeting	Collections development policies; Motivation	Query about the purpose of collections development policies within the context of the report.	"The language in Recommendation #6 has been clarified to answer these questions, and other similar questions."
17-May-13	Individual Feedback	Collections life-cycle; Collections development policies	Assertion made that the collections life-cycle should be considered during acquisitions.	This is a process funding question that is outside the scope of this report. Recommendation #2 indirectly addresses lifecycle costs.
17-May-13	Individual Feedback	Collections life-cycle; Preservation	Assertion made that preservation and risk assessment should be part of the acquisitions workflow.	This is a process funding question that is outside the scope of this report. Recommendation #2 indirectly addresses lifecycle costs.
21-May-13	Individual Feedback	Collaboration and/or coordination (internal); Governance	Concern expressed that the governance models will create a burdensome bureaucracy and that collaboration is more a side-effect of culture rather than of structure.	"Recommendation #7 emphasizes the small size of collaboratives. Also, some of this would be addressed in a Governance section which was removed from this Final Report."
25-Apr-13	Affinity Group Meeting	Motivation	Query about the intended audience of this document.	"The audience is generally understood to be librarians, and the glossary was added for non-librarians, including faculty."
25-Apr-13	Affinity Group Meeting	Harvard Library Transition	Observation that the savings hoped for from the Harvard Library Transition will not materialize.	Discussion of implications of the Harvard Library Transition are out of scope for the Final Document.
25-Apr-13	Affinity Group Meeting	Digital materials; Digital materials (digitized from Harvard collections); Staffing concerns	"Concern that implementation of recommendations pertaining to digitization and digital materials will be costly (staff, money, time)"	"Recommendation #10 explicitly calls for the creation of a digitization program, Recommendation #4 acknowledges that greater investment in IT is needed to sustain and build collections; and in Dependencies for Success, #2 specifically identifies technology infrastructure as a necessary step. Staffing levels, in general, are a local issue and funding is outside the scope of the Final Report."
25-Apr-13	Affinity Group Meeting	Staffing concerns	"Perception that staff resources are stretched to the limit now, and that the document should reflect that reality when addressing implementation of recommendations."	Savings are not indicated as a prime driver of the Final Report. Attaining the best collection/content possible is the principle driver.  Report addresses new ways of doing business that may positively affect resources overall. Local staffing issues are not in scope for this report.
